Ionic radius ,Temperature,Frequency
1.82e-10,60,1.47
1.82e-10,60,1.36
1.82e-10,60,1.26
1.82e-10,60,1.17
1.82e-10,60,1.08
1.82e-10,60,1.0
2.06e-10,-5,1000000.0
2.06e-10,-5,912000.0
2.06e-10,-5,832000.0
2.06e-10,-5,759000.0
2.06e-10,-5,692000.0
2.06e-10,-5,631000.0
2.06e-10,-5,575000.0
2.06e-10,-5,525000.0
2.06e-10,-5,479000.0
2.06e-10,-5,437000.0
2.06e-10,-5,398000.0
2.06e-10,-5,363000.0
2.06e-10,-5,331000.0
2.06e-10,-5,302000.0
2.06e-10,-5,275000.0
2.06e-10,-5,251000.0
2.06e-10,-5,229000.0
2.06e-10,-5,209000.0
2.06e-10,-5,191000.0
2.06e-10,-5,174000.0
2.06e-10,-5,158000.0
2.06e-10,-5,145000.0
2.06e-10,-5,132000.0
2.06e-10,-5,120000.0
2.06e-10,-5,110000.0
2.06e-10,-5,100000.0
2.06e-10,-5,91200.0
2.06e-10,-5,83200.0
2.06e-10,-5,75900.0
2.06e-10,-5,69200.0
2.06e-10,-5,63100.0
2.06e-10,-5,57500.0
2.06e-10,-5,52500.0
2.06e-10,-5,47900.0
2.06e-10,-5,43700.0
2.06e-10,-5,39800.0
2.06e-10,-5,36300.0
2.06e-10,-5,33100.0
2.06e-10,-5,30200.0
2.06e-10,-5,27500.0
2.06e-10,-5,25100.0
2.06e-10,-5,22900.0
2.06e-10,-5,20900.0
2.06e-10,-5,19100.0
2.06e-10,-5,17400.0
2.06e-10,-5,15800.0
2.06e-10,-5,14500.0
2.06e-10,-5,13200.0
2.06e-10,-5,12000.0
2.06e-10,-5,11000.0
2.06e-10,-5,10000.0
2.06e-10,-5,9120.0
2.06e-10,-5,8320.0
2.06e-10,-5,7590.0
2.06e-10,-5,6920.0
2.06e-10,-5,6310.0
2.06e-10,-5,5750.0
2.06e-10,-5,5250.0
2.06e-10,-5,4790.0
2.06e-10,-5,4370.0
2.06e-10,-5,3980.0
2.06e-10,-5,3630.0
2.06e-10,-5,3310.0
2.06e-10,-5,3020.0
2.06e-10,-5,2750.0
2.06e-10,-5,2510.0
2.06e-10,-5,2290.0
2.06e-10,-5,2090.0
2.06e-10,-5,1910.0
2.06e-10,-5,1740.0
2.06e-10,-5,1580.0
2.06e-10,-5,1450.0
2.06e-10,-5,1320.0
2.06e-10,-5,1200.0
2.06e-10,-5,1100.0
2.06e-10,-5,1000.0
2.06e-10,-5,912.0
2.06e-10,-5,832.0
2.06e-10,-5,759.0
2.06e-10,-5,692.0
2.06e-10,-5,631.0
2.06e-10,-5,575.0
2.06e-10,-5,525.0
2.06e-10,-5,479.0
2.06e-10,-5,437.0
2.06e-10,-5,398.0
2.06e-10,-5,363.0
2.06e-10,-5,331.0
2.06e-10,-5,302.0
2.06e-10,-5,275.0
2.06e-10,-5,251.0
2.06e-10,-5,229.0
2.06e-10,-5,209.0
2.06e-10,-5,191.0
2.06e-10,-5,174.0
2.06e-10,-5,158.0
2.06e-10,-5,145.0
2.06e-10,-5,132.0
2.06e-10,-5,120.0
2.06e-10,-5,110.0
2.06e-10,-5,100.0
2.06e-10,-5,91.2
2.06e-10,-5,83.2
2.06e-10,-5,75.9
2.06e-10,-5,69.2
2.06e-10,-5,63.1
2.06e-10,-5,57.5
2.06e-10,-5,52.5
2.06e-10,-5,47.9
2.06e-10,-5,43.7
2.06e-10,-5,39.8
2.06e-10,-5,36.3
2.06e-10,-5,33.1
2.06e-10,-5,30.2
2.06e-10,-5,27.5
2.06e-10,-5,25.1
2.06e-10,-5,22.9
2.06e-10,-5,20.9
2.06e-10,-5,19.1
2.06e-10,-5,17.4
2.06e-10,-5,15.8
2.06e-10,-5,14.5
2.06e-10,-5,13.2
2.06e-10,-5,12.0
2.06e-10,-5,11.0
2.06e-10,-5,10.0
2.06e-10,-5,9.12
2.06e-10,-5,8.32
2.06e-10,-5,7.59
2.06e-10,-5,6.92
2.06e-10,-5,6.31
2.06e-10,-5,5.75
2.06e-10,-5,5.25
2.06e-10,-5,4.79
2.06e-10,-5,4.37
2.06e-10,-5,3.98
2.06e-10,-5,3.63
2.06e-10,-5,3.31
2.06e-10,-5,3.02
2.06e-10,-5,2.75
2.06e-10,-5,2.51
2.06e-10,-5,2.29
2.06e-10,-5,2.09
2.06e-10,-5,1.91
2.06e-10,-5,1.74
2.06e-10,-5,1.58
2.06e-10,-5,1.45
2.06e-10,-5,1.32
2.06e-10,-5,1.2
2.06e-10,-5,1.1
2.06e-10,-5,1.0
2.06e-10,20,1000000.0
2.06e-10,20,912000.0
2.06e-10,20,832000.0
2.06e-10,20,759000.0
2.06e-10,20,692000.0
2.06e-10,20,631000.0
2.06e-10,20,575000.0
2.06e-10,20,525000.0
2.06e-10,20,479000.0
2.06e-10,20,437000.0
2.06e-10,20,398000.0
2.06e-10,20,363000.0
2.06e-10,20,331000.0
2.06e-10,20,302000.0
2.06e-10,20,275000.0
2.06e-10,20,251000.0
2.06e-10,20,229000.0
2.06e-10,20,209000.0
2.06e-10,20,191000.0
2.06e-10,20,174000.0
2.06e-10,20,158000.0
2.06e-10,20,145000.0
2.06e-10,20,132000.0
2.06e-10,20,120000.0
2.06e-10,20,110000.0
2.06e-10,20,100000.0
2.06e-10,20,91200.0
2.06e-10,20,83200.0
2.06e-10,20,75900.0
2.06e-10,20,69200.0
2.06e-10,20,63100.0
2.06e-10,20,57500.0
2.06e-10,20,52500.0
2.06e-10,20,47900.0
2.06e-10,20,43700.0
2.06e-10,20,39800.0
2.06e-10,20,36300.0
2.06e-10,20,33100.0
2.06e-10,20,30200.0
2.06e-10,20,27500.0
2.06e-10,20,25100.0
2.06e-10,20,22900.0
2.06e-10,20,20900.0
2.06e-10,20,19100.0
2.06e-10,20,17400.0
2.06e-10,20,15800.0
2.06e-10,20,14500.0
2.06e-10,20,13200.0
2.06e-10,20,12000.0
2.06e-10,20,11000.0
2.06e-10,20,10000.0
2.06e-10,20,9120.0
2.06e-10,20,8320.0
2.06e-10,20,7590.0
2.06e-10,20,6920.0
2.06e-10,20,6310.0
2.06e-10,20,5750.0
2.06e-10,20,5250.0
2.06e-10,20,4790.0
2.06e-10,20,4370.0
2.06e-10,20,3980.0
2.06e-10,20,3630.0
2.06e-10,20,3310.0
2.06e-10,20,3020.0
2.06e-10,20,2750.0
2.06e-10,20,2510.0
2.06e-10,20,2290.0
2.06e-10,20,2090.0
2.06e-10,20,1910.0
2.06e-10,20,1740.0
2.06e-10,20,1580.0
2.06e-10,20,1450.0
2.06e-10,20,1320.0
2.06e-10,20,1200.0
2.06e-10,20,1100.0
2.06e-10,20,1000.0
2.06e-10,20,912.0
2.06e-10,20,832.0
2.06e-10,20,759.0
2.06e-10,20,692.0
2.06e-10,20,631.0
2.06e-10,20,575.0
2.06e-10,20,525.0
2.06e-10,20,479.0
2.06e-10,20,437.0
2.06e-10,20,398.0
2.06e-10,20,363.0
2.06e-10,20,331.0
2.06e-10,20,302.0
2.06e-10,20,275.0
2.06e-10,20,251.0
2.06e-10,20,229.0
2.06e-10,20,209.0
2.06e-10,20,191.0
2.06e-10,20,174.0
2.06e-10,20,158.0
2.06e-10,20,145.0
2.06e-10,20,132.0
2.06e-10,20,120.0
2.06e-10,20,110.0
2.06e-10,20,100.0
2.06e-10,20,91.2
2.06e-10,20,83.2
2.06e-10,20,75.9
2.06e-10,20,69.2
2.06e-10,20,63.1
2.06e-10,20,57.5
2.06e-10,20,52.5
2.06e-10,20,47.9
2.06e-10,20,43.7
2.06e-10,20,39.8
2.06e-10,20,36.3
2.06e-10,20,33.1
2.06e-10,20,30.2
2.06e-10,20,27.5
2.06e-10,20,25.1
2.06e-10,20,22.9
2.06e-10,20,20.9
2.06e-10,20,19.1
2.06e-10,20,17.4
2.06e-10,20,15.8
2.06e-10,20,14.5
2.06e-10,20,13.2
2.06e-10,20,12.0
2.06e-10,20,11.0
2.06e-10,20,10.0
2.06e-10,20,9.12
2.06e-10,20,8.32
2.06e-10,20,7.59
2.06e-10,20,6.92
2.06e-10,20,6.31
2.06e-10,20,5.75
2.06e-10,20,5.25
2.06e-10,20,4.79
2.06e-10,20,4.37
2.06e-10,20,3.98
2.06e-10,20,3.63
2.06e-10,20,3.31
2.06e-10,20,3.02
2.06e-10,20,2.75
2.06e-10,20,2.51
2.06e-10,20,2.29
2.06e-10,20,2.09
2.06e-10,20,1.91
2.06e-10,20,1.74
2.06e-10,20,1.58
2.06e-10,20,1.45
2.06e-10,20,1.32
2.06e-10,20,1.2
2.06e-10,20,1.1
2.06e-10,20,1.0
2.06e-10,25,1000000.0
2.06e-10,25,912000.0
2.06e-10,25,832000.0
2.06e-10,25,759000.0
2.06e-10,25,692000.0
2.06e-10,25,631000.0
2.06e-10,25,575000.0
2.06e-10,25,525000.0
2.06e-10,25,479000.0
2.06e-10,25,437000.0
2.06e-10,25,398000.0
2.06e-10,25,363000.0
2.06e-10,25,331000.0
2.06e-10,25,302000.0
2.06e-10,25,275000.0
2.06e-10,25,251000.0
2.06e-10,25,229000.0
2.06e-10,25,209000.0
2.06e-10,25,191000.0
2.06e-10,25,174000.0
2.06e-10,25,158000.0
2.06e-10,25,145000.0
2.06e-10,25,132000.0
2.06e-10,25,120000.0
2.06e-10,25,110000.0
2.06e-10,25,100000.0
2.06e-10,25,91200.0
2.06e-10,25,83200.0
2.06e-10,25,75900.0
2.06e-10,25,69200.0
2.06e-10,25,63100.0
2.06e-10,25,57500.0
2.06e-10,25,52500.0
2.06e-10,25,47900.0
2.06e-10,25,43700.0
2.06e-10,25,39800.0
2.06e-10,25,36300.0
2.06e-10,25,33100.0
2.06e-10,25,30200.0
2.06e-10,25,27500.0
2.06e-10,25,25100.0
2.06e-10,25,22900.0
2.06e-10,25,20900.0
2.06e-10,25,19100.0
2.06e-10,25,17400.0
2.06e-10,25,15800.0
2.06e-10,25,14500.0
2.06e-10,25,13200.0
2.06e-10,25,12000.0
2.06e-10,25,11000.0
2.06e-10,25,10000.0
2.06e-10,25,9120.0
2.06e-10,25,8320.0
2.06e-10,25,7590.0
2.06e-10,25,6920.0
2.06e-10,25,6310.0
2.06e-10,25,5750.0
2.06e-10,25,5250.0
2.06e-10,25,4790.0
2.06e-10,25,4370.0
2.06e-10,25,3980.0
2.06e-10,25,3630.0
2.06e-10,25,3310.0
2.06e-10,25,3020.0
2.06e-10,25,2750.0
2.06e-10,25,2510.0
2.06e-10,25,2290.0
2.06e-10,25,2090.0
2.06e-10,25,1910.0
2.06e-10,25,1740.0
2.06e-10,25,1580.0
2.06e-10,25,1450.0
2.06e-10,25,1320.0
2.06e-10,25,1200.0
2.06e-10,25,1100.0
2.06e-10,25,1000.0
2.06e-10,25,912.0
2.06e-10,25,832.0
2.06e-10,25,759.0
2.06e-10,25,692.0
2.06e-10,25,631.0
2.06e-10,25,575.0
2.06e-10,25,525.0
2.06e-10,25,479.0
2.06e-10,25,437.0
2.06e-10,25,398.0
2.06e-10,25,363.0
2.06e-10,25,331.0
2.06e-10,25,302.0
2.06e-10,25,275.0
2.06e-10,25,251.0
2.06e-10,25,229.0
2.06e-10,25,209.0
2.06e-10,25,191.0
2.06e-10,25,174.0
2.06e-10,25,158.0
2.06e-10,25,145.0
2.06e-10,25,132.0
2.06e-10,25,120.0
2.06e-10,25,110.0
2.06e-10,25,100.0
2.06e-10,25,91.2
2.06e-10,25,83.2
2.06e-10,25,75.9
2.06e-10,25,69.2
2.06e-10,25,63.1
2.06e-10,25,57.5
2.06e-10,25,52.5
2.06e-10,25,47.9
2.06e-10,25,43.7
2.06e-10,25,39.8
2.06e-10,25,36.3
2.06e-10,25,33.1
2.06e-10,25,30.2
2.06e-10,25,27.5
2.06e-10,25,25.1
2.06e-10,25,22.9
2.06e-10,25,20.9
2.06e-10,25,19.1
2.06e-10,25,17.4
2.06e-10,25,15.8
2.06e-10,25,14.5
2.06e-10,25,13.2
2.06e-10,25,12.0
2.06e-10,25,11.0
2.06e-10,25,10.0
2.06e-10,25,9.12
2.06e-10,25,8.32
2.06e-10,25,7.59
2.06e-10,25,6.92
2.06e-10,25,6.31
2.06e-10,25,5.75
2.06e-10,25,5.25
2.06e-10,25,4.79
2.06e-10,25,4.37
2.06e-10,25,3.98
2.06e-10,25,3.63
2.06e-10,25,3.31
2.06e-10,25,3.02
2.06e-10,25,2.75
2.06e-10,25,2.51
2.06e-10,25,2.29
2.06e-10,25,2.09
2.06e-10,25,1.91
2.06e-10,25,1.74
2.06e-10,25,1.58
2.06e-10,25,1.45
2.06e-10,25,1.32
2.06e-10,25,1.2
2.06e-10,25,1.1
2.06e-10,25,1.0
2.06e-10,55,1000000.0
2.06e-10,55,912000.0
2.06e-10,55,832000.0
2.06e-10,55,759000.0
2.06e-10,55,692000.0
2.06e-10,55,631000.0
2.06e-10,55,575000.0
2.06e-10,55,525000.0
2.06e-10,55,479000.0
2.06e-10,55,437000.0
2.06e-10,55,398000.0
2.06e-10,55,363000.0
2.06e-10,55,331000.0
2.06e-10,55,302000.0
2.06e-10,55,275000.0
2.06e-10,55,251000.0
2.06e-10,55,229000.0
2.06e-10,55,209000.0
2.06e-10,55,191000.0
2.06e-10,55,174000.0
2.06e-10,55,158000.0
2.06e-10,55,145000.0
2.06e-10,55,132000.0
2.06e-10,55,120000.0
2.06e-10,55,110000.0
2.06e-10,55,100000.0
2.06e-10,55,91200.0
2.06e-10,55,83200.0
2.06e-10,55,75900.0
2.06e-10,55,69200.0
2.06e-10,55,63100.0
2.06e-10,55,57500.0
2.06e-10,55,52500.0
2.06e-10,55,47900.0
2.06e-10,55,43700.0
2.06e-10,55,39800.0
2.06e-10,55,36300.0
2.06e-10,55,33100.0
2.06e-10,55,30200.0
2.06e-10,55,27500.0
2.06e-10,55,25100.0
2.06e-10,55,22900.0
2.06e-10,55,20900.0
2.06e-10,55,19100.0
2.06e-10,55,17400.0
2.06e-10,55,15800.0
2.06e-10,55,14500.0
2.06e-10,55,13200.0
2.06e-10,55,12000.0
2.06e-10,55,11000.0
2.06e-10,55,10000.0
2.06e-10,55,9120.0
2.06e-10,55,8320.0
2.06e-10,55,7590.0
2.06e-10,55,6920.0
2.06e-10,55,6310.0
2.06e-10,55,5750.0
2.06e-10,55,5250.0
2.06e-10,55,4790.0
2.06e-10,55,4370.0
2.06e-10,55,3980.0
2.06e-10,55,3630.0
2.06e-10,55,3310.0
2.06e-10,55,3020.0
2.06e-10,55,2750.0
2.06e-10,55,2510.0
2.06e-10,55,2290.0
2.06e-10,55,2090.0
2.06e-10,55,1910.0
2.06e-10,55,1740.0
2.06e-10,55,1580.0
2.06e-10,55,1450.0
2.06e-10,55,1320.0
2.06e-10,55,1200.0
2.06e-10,55,1100.0
2.06e-10,55,1000.0
2.06e-10,55,912.0
2.06e-10,55,832.0
2.06e-10,55,759.0
2.06e-10,55,692.0
2.06e-10,55,631.0
2.06e-10,55,575.0
2.06e-10,55,525.0
2.06e-10,55,479.0
2.06e-10,55,437.0
2.06e-10,55,398.0
2.06e-10,55,363.0
2.06e-10,55,331.0
2.06e-10,55,302.0
2.06e-10,55,275.0
2.06e-10,55,251.0
2.06e-10,55,229.0
2.06e-10,55,209.0
2.06e-10,55,191.0
2.06e-10,55,174.0
2.06e-10,55,158.0
2.06e-10,55,145.0
2.06e-10,55,132.0
2.06e-10,55,120.0
2.06e-10,55,110.0
2.06e-10,55,100.0
2.06e-10,55,91.2
2.06e-10,55,83.2
2.06e-10,55,75.9
2.06e-10,55,69.2
2.06e-10,55,63.1
2.06e-10,55,57.5
2.06e-10,55,52.5
2.06e-10,55,47.9
2.06e-10,55,43.7
2.06e-10,55,39.8
2.06e-10,55,36.3
2.06e-10,55,33.1
2.06e-10,55,30.2
2.06e-10,55,27.5
2.06e-10,55,25.1
2.06e-10,55,22.9
2.06e-10,55,20.9
2.06e-10,55,19.1
2.06e-10,55,17.4
2.06e-10,55,15.8
2.06e-10,55,14.5
2.06e-10,55,13.2
2.06e-10,55,12.0
2.06e-10,55,11.0
2.06e-10,55,10.0
2.06e-10,55,9.12
2.06e-10,55,8.32
2.06e-10,55,7.59
2.06e-10,55,6.92
2.06e-10,55,6.31
2.06e-10,55,5.75
2.06e-10,55,5.25
2.06e-10,55,4.79
2.06e-10,55,4.37
2.06e-10,55,3.98
2.06e-10,55,3.63
2.06e-10,55,3.31
2.06e-10,55,3.02
2.06e-10,55,2.75
2.06e-10,55,2.51
2.06e-10,55,2.29
2.06e-10,55,2.09
2.06e-10,55,1.91
2.06e-10,55,1.74
2.06e-10,55,1.58
2.06e-10,55,1.45
2.06e-10,55,1.32
2.06e-10,55,1.2
2.06e-10,55,1.1
2.06e-10,55,1.0
2.06e-10,60,1000000.0
2.06e-10,60,912000.0
2.06e-10,60,832000.0
2.06e-10,60,759000.0
2.06e-10,60,692000.0
2.06e-10,60,631000.0
2.06e-10,60,575000.0
2.06e-10,60,525000.0
2.06e-10,60,479000.0
2.06e-10,60,437000.0
2.06e-10,60,398000.0
2.06e-10,60,363000.0
2.06e-10,60,331000.0
2.06e-10,60,302000.0
2.06e-10,60,275000.0
2.06e-10,60,251000.0
2.06e-10,60,229000.0
2.06e-10,60,209000.0
2.06e-10,60,191000.0
2.06e-10,60,174000.0
2.06e-10,60,158000.0
2.06e-10,60,145000.0
2.06e-10,60,132000.0
2.06e-10,60,120000.0
2.06e-10,60,110000.0
2.06e-10,60,100000.0
2.06e-10,60,91200.0
2.06e-10,60,83200.0
2.06e-10,60,75900.0
2.06e-10,60,69200.0
2.06e-10,60,63100.0
2.06e-10,60,57500.0
2.06e-10,60,52500.0
2.06e-10,60,47900.0
2.06e-10,60,43700.0
2.06e-10,60,39800.0
2.06e-10,60,36300.0
2.06e-10,60,33100.0
2.06e-10,60,30200.0
2.06e-10,60,27500.0
2.06e-10,60,25100.0
2.06e-10,60,22900.0
2.06e-10,60,20900.0
2.06e-10,60,19100.0
2.06e-10,60,17400.0
2.06e-10,60,15800.0
2.06e-10,60,14500.0
2.06e-10,60,13200.0
2.06e-10,60,12000.0
2.06e-10,60,11000.0
2.06e-10,60,10000.0
